feature_id,area,feature,primary_user,story,expected_behavior,entry_points,code_refs,existing_coverage,test_type,test_status,last_tested_at,tester,issue_status,error_summary,evidence,fix_refs,retest_evidence,production_notes
AUTH-001,Authentication,Sign in,Existing user,"As an existing user, I can sign in with email and password so I can access my workspace.","Email/password sign-in authenticates the user, redirects into the authenticated app, and does not offer social auth as the primary test path.","/sign-in","apps/web/src/routes/_auth/sign-in.tsx; apps/web/src/lib/auth-runtime.better-auth.tsx","",browser,passed,2026-07-08T13:47:51Z,manager,none,"vb auth-001 open http://seal.localhost:1355/sign-in; filled test credentials; clicked Sign in; screenshot test-results/auth-001-sign-in-result.png; console clean",,,,
AUTH-002,Authentication,Sign up,New user,"As a new user, I can create an account so I can start using Seal.","Email/password sign-up creates a user and starts onboarding or workspace selection without requiring social auth.","/sign-up","apps/web/src/routes/_auth/sign-up.tsx; apps/backend/convex/organizations/mutations.ts","convex/organizations/__tests__/account_creation.test.ts",browser,passed,2026-07-08T13:49:06Z,manager,none,"vb auth-002 open http://seal.localhost:1355/sign-up; filled new-user form with QA Auth 002 / seal-e2e-auth002@seal.nyc / SealE2ePassword123!; submitted; reached create-workspace onboarding page; screenshot test-results/auth-002-sign-up-result.png",,,,
AUTH-003,Authentication,Accept invitation,Invited teammate,"As an invited teammate, I can accept an invitation so I can join the organization.","Valid invitation links route the user through account/session handling and add them to the target organization with the invited role.","/accept-invite","apps/web/src/routes/_auth/accept-invite.tsx; apps/backend/convex/invitations.ts","",browser,retest_passed,2026-07-08T14:35:24Z,manager,closed,"Invited member redeemed successfully but dashboard crashed for member role because recent activity required audit:view.","Created invitation with real invitations:createInvitation mutation for seal-auth003-20260708-1032@seal.nyc; opened local /accept-invite token URL in fresh vb session; signup preserved token and accepted invitation; initial proof failed on dashboard with ConvexError Insufficient permissions from dashboard/queries:getRecentActivity; screenshots docs/test-sessions/auth-003-invite-signup-filled.png and docs/test-sessions/auth-003-joining-stuck.png",apps/backend/convex/dashboard/queries.ts,"After getRecentActivity degraded to an empty feed for users without audit read/view, deployed Convex dev functions to aware-buzzard-568, reloaded invited-user session, landed on http://seal.localhost:1355/seal-e2e/home with dashboard visible and no page errors; screenshot docs/test-sessions/auth-003-accepted-dashboard.png",
ORG-001,Onboarding,Choose organization,Authenticated user,"As an authenticated user with multiple organizations, I can choose which workspace to enter.","The organization chooser lists available organizations and routes to the selected workspace slug.","/onboarding/choose-organization","apps/web/src/routes/_authenticated/onboarding/choose-organization/index.tsx; apps/web/src/components/team-switcher.tsx","",browser,retest_passed,2026-07-08T13:58:17Z,manager,closed,"","vb auth-002 open http://seal.localhost:1355/onboarding/choose-organization; two workspaces were listed; selected the sibling workspace button; route resolved to http://seal.localhost:1355/qa-auth-002-1/home; console clean; screenshot test-results/org-001-selected-workspace.png",apps/web/src/components/team-switcher.tsx,,
ORG-002,Organization selection,Switch workspace,Authenticated user with multiple organizations,"As an authenticated user with multiple organizations, I can switch my active workspace from the app shell so I stay in the correct tenant.","The workspace switcher lists my organizations, selecting one updates the active org slug, and the app routes into that workspace without losing the onboarding/active-org recovery behavior.","/app; app shell workspace switcher; /onboarding/choose-organization","apps/web/src/components/team-switcher.tsx; apps/web/src/components/app-sidebar.tsx; apps/web/src/components/enforce-organization.tsx; apps/web/src/routes/app.tsx; apps/backend/convex/check_membership.ts; apps/backend/convex/organizations/queries.ts","apps/web/e2e/tests/auth.e2e.ts; apps/web/e2e/tests/team-management.e2e.ts",browser,retest_passed,2026-07-08T14:07:46Z,manager,closed,"","vb auth-002 open http://seal.localhost:1355/qa-auth-002-1/home; opened the workspace menu; mouse-selected the sibling workspace; URL resolved to http://seal.localhost:1355/qa-auth-002/home; console clean; screenshot test-results/org-002-switch-workspace-final.png",apps/backend/convex/check_membership.ts; apps/web/src/components/app-sidebar.tsx; apps/web/src/routes/_authenticated/onboarding/choose-organization/index.tsx; apps/web/src/components/team-switcher.tsx,,
DASH-001,Dashboard,Home dashboard,Workspace member,"As a workspace member, I can see workspace status and recent activity so I know what needs attention.","Dashboard shows stats, recent documents, recent activity, needs-attention items, quick actions, and team overview from org-scoped data.","/:slug/home; /:slug","apps/web/src/routes/_authenticated/$slug/home.tsx; apps/web/src/components/dashboard","convex/dashboard/__tests__/analytics_queries.test.ts",browser,passed,2026-07-08T14:18:30Z,manager,none,"vb auth-002 open http://seal.localhost:1355/qa-auth-002/home; snapshot showed dashboard stats, quick actions, recent activity, and team overview; screenshot test-results/dash-001-dashboard-current.png",,,,
DOC-001,Documents,Upload document,Workspace member,"As a workspace member, I can upload a document so it can be prepared for signing.","Upload dialog validates files, creates a document record, uploads storage content, and opens or lists the new document.","/:slug/documents","apps/web/src/routes/_authenticated/$slug/documents/index.tsx; apps/web/src/components/documents/upload-dialog.tsx; apps/backend/convex/documents/upload_config.ts","src/components/documents/upload-dialog.test.tsx; convex/documents/__tests__/upload_config.test.ts",browser,passed,2026-07-08T14:38:44Z,manager,none,"vb seal-doc-001 signed in as seal-e2e@seal.nyc, opened http://seal.localhost:1355/seal-e2e/documents, opened Upload Documents dialog, verified Upload PDF disabled before file selection, attached apps/web/e2e/fixtures/sample-document.pdf, clicked Upload PDF, saw success toast and draft row for sample-document.pdf with 1 page / 51.86 KB; screenshots docs/test-sessions/doc-001-signin-filled.png, docs/test-sessions/doc-001-upload-file-selected.png, docs/test-sessions/doc-001-upload-result.png",,,,
DOC-002,Documents,Document editor,Document owner,"As a document owner, I can open a document and prepare it for recipients.","Document route loads PDF/pages, recipients, fields, status, sidebar, toolbar, presence, and save/send actions for the selected document.","/:slug/documents/:documentId","apps/web/src/routes/_authenticated/$slug/documents/$documentId.tsx; apps/web/src/components/documents","convex/documents/__tests__/workflow_mutations.test.ts",browser,retest_passed,2026-07-08T14:45:16Z,manager,closed,"Initial proof exceeded the 2 second editor-preview bar and local worker retest exposed a PDF.js API/worker mismatch: API 5.4.296 vs worker 5.6.205.","Fresh browser opened uploaded document jn75ap6kmpey306eyqbyd5ysp58a56f9; editor header, PDF page text, recipients, field controls, status, toolbar, and sidebar rendered with no page errors. Screenshot: docs/test-sessions/doc-002-worker-pin-visible.png","Pinned apps/web pdfjs-dist to 5.4.296 and switched authenticated editor plus public signing routes from unpkg worker URLs to bundled pdfjs-dist worker imports.","Retest used clean Vite restart after lockfile reoptimization; no PDF.js mismatch error in console; DOM contained rendered PDF text and editor controls within the route proof.",
DOC-003,Documents,Add recipients,Document owner,"As a document owner, I can add recipients so each signer has assigned fields.","Add recipient flow validates recipient data, creates recipient rows, assigns colors/order, and updates the editor state.","Document editor add recipient dialog","apps/web/src/components/documents/add-recipient-dialog.tsx; apps/backend/convex/documents/recipients_mutations.ts","src/components/documents/add-recipient-dialog.test.tsx; convex/documents/__tests__/recipients_mutations.test.ts",browser,passed,2026-07-08T14:47:58Z,manager,none,"","Opened Add Recipient from document editor, verified submit disabled until a team member was selected, selected Auth Invite 003, clicked Add Recipient, saw success toast, Recipients count increased to 1, Activity count increased to 2, recipient row showed pending, and signer field tools unlocked. Screenshots: docs/test-sessions/doc-003-add-recipient-dialog.png, docs/test-sessions/doc-003-recipient-added.png",,,
DOC-004,Documents,Place fillable fields,Document owner,"As a document owner, I can place fields on the PDF so recipients know what to complete.","Field toolbar and placement create typed fields with recipient ownership, stable positions, validation settings, and visible overlays.","Document editor field toolbar","apps/web/src/components/documents/field-toolbar.tsx; apps/web/src/components/documents/draggable-field.tsx; apps/backend/convex/signature_fields","convex/signature_fields/__tests__/mutations.test.ts",browser,passed,2026-07-08T14:50:37Z,manager,none,"","With DOC-003 recipient in place, used Signature field drag/drop path on uploaded document jn75ap6kmpey306eyqbyd5ysp58a56f9; Assign Field to Recipient dialog opened with Auth Invite 003 preselected; confirmed Place Field; PDF overlay rendered Signature Page 1, Signature Fields count became 1, field list showed assigned recipient, Undo enabled, and Send Document enabled. Screenshots: docs/test-sessions/doc-004-recipient-selector.png, docs/test-sessions/doc-004-signature-field-confirmed.png",,,
